,total_perc_change,new_case_count_sum,religion,civic,charitable,fraternal,union,voteage,local,state,federal,politicalacts,ethnic,ethnichpn,education,incomeequal,employ,genderincome,language,commu,nonelder
"Washburn County, Wisconsin",-0.999999999,226,0.14552629,0.06519999,0.5235457,0.25464684,0.49876544,0.6491393,0.18393312,0.10197507,0.062548205,0.34542817,0.90579754,0.98332113,0.5570265,0.54109585,0.48904267,0.027337909,0.9733454,0.87874246,0.99758077
"Inyo County, California",-0.999685563,131,0.12052615,0.06519999,0.22022161,0.31226766,0.33333334,0.5497008,0.42260462,0.09368494,0.12496496,0.16835994,0.45992416,0.4107275,0.7443992,0.4977169,0.52595156,0.005821586,0.83529186,0.88208085,0.99810785
"Jackson County, Minnesota",-0.999014389,270,0.1633379,0.05433333,0.40027702,0.26951674,0.40493828,0.608092,0.19739887,0.039904814,0.027732344,0.3962264,0.9024638,0.9131516,0.610998,0.5296804,0.650519,0.06884128,0.9598189,0.9097358,0.9967259
"Highland County, Ohio",-0.998519305,413,0.14704251,0.08693332,0.57894737,0.33271375,0.41975307,0.56789416,0.169425,0.029289642,0.05413687,0.42815676,0.90370035,0.99277335,0.47759676,0.53881276,0.4025375,0.047127187,0.9781782,0.8254039,0.99935436
"Pontotoc County, Mississippi",-0.997831425,457,0.19829042,0.032599997,0.27700832,0.2527881,0.3160494,0.50451475,0.11308324,0.09956744,0.056126878,0.37590712,0.5775398,0.80162597,0.5040733,0.47716898,0.5051903,0.06337541,0.9471227,0.7226182,0.9991846
"Ogemaw County, Michigan",-0.992101725,658,0.08161404,0.05976666,0.12465374,0.21189591,0.32098764,0.65606296,0.17510277,0.07157785,0.05519988,0.2191582,0.9259977,0.9497822,0.589613,0.48173517,0.2791234,0.09488422,0.9783004,0.87308556,0.9982481
"Boyle County, Kentucky",-0.981726279,501,0.15095839,0.081499994,0.40443215,0.33271375,0.3506173,0.61036754,0.13302559,0.1499875,0.060462784,0.35123366,0.7114078,0.8917857,0.6405295,0.37899542,0.44867358,0.090415955,0.9562606,0.9119649,0.99893457
"Oktibbeha County, Mississippi",-0.980221058,673,0.104026385,0.06519999,0.5803324,0.14869888,0.74814814,0.6548534,0.13860242,0.6151885,0.09558214,0.425254,0.32065016,0.9400608,0.73319757,0.24885845,0.4152249,0.047661126,0.9481215,0.807239,0.9996208
"Choctaw County, Oklahoma",-0.979993123,145,0.25060663,0.02173333,0.15927978,0.18959108,0.43703705,0.57605964,0.23212439,0.15401146,0.103527755,0.1582003,0.3055784,0.8867463,0.4144603,0.3995434,0.3587082,0.14927953,0.9584044,0.87463754,0.9978028
"Lewis County, Kentucky",-0.970274279,391,0.1448596,0.03803333,0.11495845,0.15055762,0.45679012,0.5983155,0.21246076,0.13646765,0.017417243,0.22496371,0.95738244,0.9919977,0.45519352,0.4018265,0.2710496,0.12100005,0.966406,0.80786425,0.99803174
"Wyoming County, Pennsylvania",-0.969636972,829,0.09463592,0.06519999,0.19806094,0.2788104,0.33827162,0.62144214,0.12561175,0.04775857,0.06191185,0.16981132,0.9390316,0.94735384,0.6456212,0.5753425,0.5536332,0.12763602,0.9711398,0.95120686,0.9989256
"Routt County, Colorado",-0.964183341,479,0.044781815,0.07606666,0.24515235,0.302974,0.29876542,0.6180147,0.17629483,0.03340647,0.049945462,0.287373,0.8910533,0.77538884,0.7240326,0.57990867,0.75663203,0.005326688,0.93701196,0.90447044,0.99920046
"Swain County, North Carolina",-0.959842572,117,0.19089536,0.02173333,0.29085872,0.22490707,0.47654322,0.58888036,0.36502382,0.16815743,0.06347641,0.3134978,0.378375,0.8617184,0.6537678,0.456621,0.42791235,0.026505053,0.94360584,0.8252839,0.9978585
"Butler County, Missouri",-0.949407677,866,0.10213356,0.06519999,0.29501384,0.30669144,0.33580247,0.5965485,0.1591477,0.1331574,0.09995171,0.26269957,0.77564824,0.93219364,0.53564155,0.43835616,0.48558247,0.07561356,0.97015613,0.8212995,0.99927807
"Effingham County, Illinois",-0.939542072,359,0.10942276,0.081499994,0.36565098,0.36988848,0.43209878,0.5759944,0.10136217,0.06710019,0.027761618,0.32946298,0.93482345,0.9397079,0.7026477,0.47031963,0.6378316,0.113666415,0.9762562,0.86245376,0.9992408
"Caroline County, Maryland",-0.938272409,329,0.11439675,0.06519999,0.33795014,0.32342008,0.4419753,0.52534145,0.2083216,0.08614395,0.14408958,0.34833091,0.5592532,0.8077242,0.55397147,0.5936073,0.5928489,0.06912935,0.9308853,0.8886877,0.99922866
"Crisp County, Georgia",-0.934256964,294,0.12673242,0.05433333,0.23407203,0.17657992,0.3802469,0.5490801,0.24506003,0.1316995,0.084468,0.22496371,0.3146671,0.88367444,0.54276985,0.39726025,0.38292962,0.007716775,0.96248287,0.85034466,0.99881405
"Pike County, Georgia",-0.91134089,450,0.12212239,0.02173333,0.23822714,0.36245352,0.3728395,0.5385059,0.23414288,0.087799765,0.08307108,0.12191582,0.69407994,0.95480424,0.6863544,0.6050228,0.5121107,0.21214777,0.9767527,0.89748544,0.9985859
"O'Brien County, Iowa",-0.883986395,155,0.19471937,0.06519999,0.22853185,0.2881041,0.41234568,0.5869305,0.1719029,0.06834868,0.043642364,0.44121915,0.9230518,0.8834877,0.5509165,0.456621,0.64705884,0.020968676,0.95968735,0.8971964,0.99752414
"Williamson County, Illinois",-0.881903824,1659,0.112795375,0.081499994,0.38504156,0.28996283,0.36049384,0.6127799,0.14562933,0.19834594,0.13974808,0.27285922,0.8373084,0.9238017,0.7026477,0.46118724,0.4475202,0.10217798,0.9724927,0.8989052,0.9995454
"Archuleta County, Colorado",-0.866842521,459,0.12199171,0.048899993,0.59418285,0.36802974,0.38765433,0.6573254,0.23854041,0.011281225,0.053811762,0.47314948,0.75673616,0.4356252,0.7148676,0.36529678,0.42329872,0.13127637,0.9213567,0.9958525,0.997295
"Victoria County, Texas",-0.863484652,2061,0.059547294,0.081499994,0.6066482,0.40334573,0.31111112,0.49785152,0.18168947,0.06752204,0.054610867,0.120464444,0.47334903,0.019943118,0.6659878,0.4520548,0.5686275,0.13969809,0.7328393,0.8499172,0.99970984
"Trempealeau County, Wisconsin",-0.859123962,216,0.105076045,0.06519999,0.33795014,0.25650558,0.33580247,0.5614199,0.17872804,0.056532748,0.050753642,0.14223513,0.8770493,0.829317,0.57026476,0.54109585,0.627451,0.078430414,0.9216349,0.88699406,0.99896896
"Coffee County, Georgia",-0.835471825,699,0.12785666,0.07063332,0.1468144,0.18959108,0.23950617,0.49137145,0.23888248,0.15205462,0.05031619,0.15384616,0.35410964,0.64220655,0.49083507,0.4474886,0.4394464,0.11869812,0.89746803,0.59711945,0.9994811
"Russell County, Virginia",-0.832778907,266,0.14803952,0.04346666,0.38088644,0.25464684,0.32098764,0.65191406,0.19279718,0.13764192,0.07207739,0.3846154,0.93563914,0.9961205,0.69959265,0.4954338,0.42791235,0.00615412,0.9842611,0.9091266,0.99893767
"Lassen County, California",-0.826324507,289,0.056132913,0.081499994,0.26592797,0.16728625,0.1382716,0.62473595,0.29959145,0.42515028,0.37772933,0.8345428,0.3836866,0.4348296,0.4419552,0.5091324,0.23875432,0.14311367,0.82440263,0.89831865,0.9994424
"Jay County, Indiana",-0.826105813,249,0.2018303,0.07606666,0.12880887,0.1654275,0.29135802,0.53917944,0.16020474,0.041144002,0.07201607,0.13207547,0.93098974,0.89984775,0.5376782,0.60730594,0.54094577,0.066075206,0.9703377,0.82289183,0.99866664
"Lincoln Parish, Louisiana",-0.814875484,1043,0.098836996,0.06519999,0.34210527,0.19888476,0.27407408,0.5913883,0.18750216,0.37890747,0.049306337,0.42089987,0.30869204,0.9042369,0.7250509,0.27853882,0.37946942,0.16896868,0.9648121,0.8413849,0.99952215
"Polk County, North Carolina",-0.806662428,209,0.17791454,0.07063332,0.43767312,0.29182157,0.37530863,0.6574502,0.15161945,0.14897218,0.07568823,0.10595065,0.80619407,0.8152336,0.7250509,0.5502283,0.37254903,0.001034021,0.94186354,0.8555656,0.99788976
"Johnson County, Iowa",-0.803063294,1636,0.03148817,0.10323332,0.16066483,0.14869888,0.40246913,0.5898753,0.11626564,0.4573279,0.08686381,0.11320755,0.6771352,0.8321958,0.7535642,0.39269406,0.68627447,0.002576172,0.88096577,0.8577519,0.9998654
"Mecklenburg County, Virginia",-0.79836072,424,0.17668015,0.048899993,0.31163436,0.25836432,0.3308642,0.6429345,0.2142464,0.15875487,0.07446331,0.52249634,0.33367336,0.9078819,0.610998,0.44292235,0.37946942,0.06453484,0.9674427,0.94795144,0.998894
"Hinds County, Mississippi",-0.795055606,5702,0.09121647,0.10866666,0.5734072,0.32527882,0.42222223,0.5352784,0.15371424,0.25698006,0.13080312,0.43686503,0.40887582,0.94446695,0.6659878,0.36301368,0.4971165,0.016529739,0.965869,0.8729274,0.9999166
"Miami County, Kansas",-0.793792304,400,0.108887844,0.05433333,0.4168975,0.37174723,0.46666667,0.53968614,0.17091845,0.10623988,0.07249793,0.31204644,0.8903821,0.90260637,0.7107943,0.60730594,0.61591697,0.10524911,0.979383,0.9100753,0.9992376
"Ripley County, Indiana",-0.790314378,281,0.13318919,0.06519999,0.17590028,0.22490707,0.45185184,0.54660225,0.11303591,0.04615162,0.059699517,0.3280116,0.93744695,0.94111043,0.57230145,0.56621003,0.5755479,0.0921005,0.9606864,0.9095602,0.9990664
"Grayson County, Virginia",-0.787965375,390,0.24467209,0.02173333,0.58171743,0.14126395,0.75061727,0.66505015,0.17030708,0.10532527,0.05116675,0.37300435,0.9144858,0.9057083,0.60692465,0.44292235,0.4567474,0.20059723,0.968137,0.9203486,0.99752396
"Dearborn County, Indiana",-0.786971413,555,0.07408871,0.09236666,0.32548475,0.38475835,0.48395061,0.5721203,0.11642767,0.03474186,0.028668754,0.28592163,0.9411728,0.9576189,0.6395112,0.60958904,0.6009227,0.13236833,0.9738764,0.91738886,0.9995144
"Orange County, Texas",-0.778044675,1841,0.08660309,0.081499994,0.4903047,0.3513011,0.3728395,0.5538254,0.15871733,0.07550276,0.04243367,0.23802613,0.7053565,0.7947397,0.6252546,0.48630136,0.46482125,0.14326763,0.94103247,0.8925031,0.99967974
"Jackson County, Georgia",-0.758283453,1242,0.07919488,0.081499994,0.3559557,0.3401487,0.52098763,0.5136129,0.21456222,0.100526094,0.052210882,0.2525399,0.7206987,0.7831004,0.47556007,0.53652966,0.544406,0.16973436,0.9217041,0.86607635,0.9996085
